Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond - Developed Markets
12/1985,,,,41237.076489579886,39293.26199421451,,,,9934.453565931248
01/1986,,,,40978.07138919158,39219.80881425104,,,,9925.10952362158
02/1986,,,,42907.85004137818,42157.14610079316,,,,9916.525239767929
03/1986,,,,45797.31497619826,44354.18024686089,,,,10739.89619923432
04/1986,,,,47298.08927667742,48736.43148138192,,,,10441.92287958322
05/1986,,,,46334.346426348624,43659.96195004152,,,,10638.789122626988
06/1986,,,,48381.8912958277,45751.07265231215,,,,10584.047045822315
07/1986,,,,47335.68457116948,44035.35220257442,,,,10486.146741918932
08/1986,,,,49922.31551687075,47492.401909488784,,,,10499.348778466274
09/1986,,,,47558.040732892434,44140.88415290366,,,,10306.054386865058
10/1986,,,,46216.703726404754,43922.99342187089,,,,10425.997552985751
11/1986,,,,48660.15998817887,46755.88852309905,,,,10193.402928523505
12/1986,,,,48918.98842075373,47257.390185902936,,,,10111.73382799858
01/1987,,,,51380.59265631077,46389.80244001448,,,,9993.70485850732
02/1987,,,,52132.908088075965,47204.617573952586,,,,10106.977937403795
03/1987,,,,55265.51344098956,49462.36165581777,,,,10180.674507637052
04/1987,,,,57738.690406181646,50735.31690030454,,,,10200.941311126022
05/1987,,,,57113.9937546486,49848.98074714457,,,,10304.159924221494
06/1987,,,,58098.78560738437,52196.086070784106,,,,10235.771796187391
07/1987,,,,60110.697558145344,54738.32176030392,,,,10204.532896554449
08/1987,,,,64152.31021935193,55629.85632732613,,,,10117.318545999922
09/1987,,,,61386.36991470059,54540.5910637742,,,,9982.121008801358
10/1987,,,,50587.01719849433,43857.440146959256,,,,10052.650274302405
11/1987,,,,46366.267919942205,39397.992820401625,,,,9854.55065714173
12/1987,,,10000.0,46897.08825092531,40428.05684667624,10000.0,,,9862.5231874334
01/1988,,,10362.212139605464,48537.91486111503,39180.82143012408,11100.47162367223,,,10484.893633816158
02/1988,,,11282.110059171597,52830.337489364014,42689.57391686133,11461.291863905324,,,10616.775861388483
03/1988,,,11476.420852926867,53678.8922827356,43274.38488595769,12521.24277606616,,,10553.932983383984
04/1988,,,11556.986830015314,54021.87490901184,43820.10731069918,13112.040735068917,,,10612.661325334491
05/1988,,,11443.912967032968,53453.569837154544,43428.8778412385,13639.024029304032,,,10830.248253542251
06/1988,,,11860.614285714286,55352.12630107665,44591.29439445851,14627.42142857143,,,11159.490073805107
07/1988,,,12692.719556541022,59223.21124341946,46946.56391953425,14975.041011086476,,,11411.453605399218
08/1988,,,12268.07996735286,57212.20877076618,45823.72259511506,14901.700172304343,,,11311.175356198444
09/1988,,,12705.951237958045,59193.67146169965,47966.87338126233,15753.07362924282,,,11570.055649840157
10/1988,,,13206.140200210748,61559.61652450748,51118.631903596775,15265.1375658588,,,11578.630066700873
11/1988,,,13111.622940035424,61167.29304238174,49702.09566678446,14598.68405161508,,,11377.64928760311
12/1988,,,13247.062765957447,61772.09104022392,50020.7233364705,15003.067021276594,,,11511.44571180487
01/1989,,,14271.517099719102,66530.23651002873,53891.89408235313,15401.735235252812,,,11972.569759640051
02/1989,,,14363.729488091009,66917.44002020075,53943.003841542406,16786.342961251332,,,11694.9421794214
03/1989,,,14380.523217321284,66917.03851528569,54698.55957846323,18582.71090632549,,,11949.99407980424
04/1989,,,14824.704615384617,68825.34672955025,56530.32122159427,22232.78769230769,,,12029.295102024707
05/1989,,,15097.170723468142,70004.83492356459,55940.88144218295,23500.9133339589,,,12403.342937206457
06/1989,,,15156.392567825756,70445.63352546077,59298.22305090406,21022.22510508216,,,12541.165094525792
07/1989,,,16134.110132480584,74970.4207865175,63389.825880458106,21428.55760621288,,,12480.06867427083
08/1989,,,15999.009408053438,74270.95275118499,63567.723885904525,22265.66281313787,,,12709.328255120969
09/1989,,,16736.539218087608,77521.37812350164,65653.79553808285,25457.010833725857,,,12417.62047598374
10/1989,,,15588.74137805984,72097.89512547171,59041.45726753303,24842.337388939257,,,12366.696925445
11/1989,,,15970.501447721184,73885.3454107418,61427.22353022555,23345.781876675603,,,12172.0902237834
12/1989,,,15816.957840616966,73105.46300158801,65239.720961245344,25118.13578406169,,,11782.7090815803
01/1990,,,14648.831209449345,67633.18425111714,63159.84906449596,25185.059790384297,,,11466.767967794136
02/1990,,,13848.459492735785,63859.5785151099,60831.7210536139,25826.91475006156,,,11381.773690650038
03/1990,,,13221.54347281383,61036.85056307657,62772.4279018528,22724.356101227764,,,11229.743063503967
04/1990,,,12888.758410290236,59369.44607056526,60323.63148532232,24052.30334762533,,,11101.53135730355
05/1990,,,14003.356298158811,64532.83963037877,64171.30012148615,25603.59185659826,,,11542.112325847576
06/1990,,,14003.615335619794,64488.22911444809,66875.36243377339,26667.845173934344,,,11474.33595137546
07/1990,,,13718.972344975053,63093.46313607065,67591.6347384438,28143.650463292943,,,11279.877254607884
08/1990,,,11882.573531193217,54653.87627339092,58208.98708539693,23473.035872198667,,,11075.541697912144
09/1990,,,10658.782997118156,48953.84082920841,51439.34226958088,20509.82507204611,,,11211.775269368907
10/1990,,,11298.61351590106,51937.2877574192,54141.38822190316,19539.270185512363,,,11245.845995974269
11/1990,,,10889.580588829558,50056.30844556919,53602.00342675956,18153.440453167845,,,11425.642341240084
12/1990,,,11256.10995911215,51690.661555202656,53451.246871877294,19144.44134053738,,,11480.887634684454
01/1991,,,11701.476679841897,53696.03839975514,55387.299789437326,20743.68682476944,,,11608.694794174527
02/1991,,,12589.058648240123,57673.206652070745,59231.51620444296,23416.594515223493,,,12000.18747286577
03/1991,,,13320.208712002508,60905.15711383389,60148.14151046674,26535.330930742715,,,12925.218060543866
04/1991,,,14148.504439676512,64633.60909897523,62688.540229800245,28244.275177422016,,,13165.331333622766
05/1991,,,14680.777571500252,66962.4109913219,65402.94486079645,30867.908128449577,,,13399.297470103014
06/1991,,,14299.854233171409,65151.1265046928,62146.65199696361,30875.518511450384,,,13771.539645577614
07/1991,,,15000.589941804918,68295.93781870553,66539.43312540004,32518.570798228087,,,13576.952677901883
08/1991,,,14640.996177370032,66560.46510562068,66262.4383902958,32473.225382263,,,13869.51888542448
09/1991,,,14599.65963984801,66401.3431823617,66366.33300448059,30366.8823062944,,,13757.301574772073
10/1991,,,14834.15830721003,67368.85198393356,64885.52762876233,31564.3288401254,,,13973.822867742829
11/1991,,,13664.87302469626,62003.58083032291,60990.63693543817,29932.29190820297,,,13858.45798634408
12/1991,,,14213.518422266648,64385.65318801702,63668.19988866337,32238.122758726746,,,13689.28839246951
01/1992,,,14099.681533101044,63619.82764051358,64097.98282893333,36223.65491289199,,,14134.427911749612
02/1992,10000.0,,14193.2896011396,63883.08438209057,65768.57251824846,38668.3047008547,,,14314.99388246438
03/1992,10067.64061302436,,13924.026879011944,62480.97344079284,65162.33029332427,41045.35217355976,,,14220.11287839918
04/1992,10269.780740213888,,13983.490232707947,62760.410692048805,68137.77784439558,40392.63990659473,,,14291.68804515136
