Date,MSCI Europe Small Cap Value Weighted,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI World Momentum,MSCI ACWI,MSCI World,S&P 500 Minimum Volatility,MSCI Emerging Markets,FTSE World Government Bond - Developed Markets,S&P 500,MSCI USA Small Cap Value Weighted
04/1985,,,30405.97770884648,,,38489.0908205484,,,10019.526779018826,,
05/1985,,,32216.970939026465,,,40743.73145553946,,,10250.878162371237,,
06/1985,,,32030.92102484476,,,40742.04246084016,,,10301.64384102301,,
07/1985,,,33341.9319047086,,,39548.87472097862,,,9878.10316927813,,
08/1985,,,33850.10476610644,,,38498.9529361696,,,10023.207167383667,,
09/1985,,,34966.138268015384,,,39409.12599100308,,,10000.690689505467,,
10/1985,,,36463.30311388926,,,38972.698766852656,,,9906.056360263648,,
11/1985,,,38558.1630517397,,,40349.80151346892,,,9884.566049650708,,
12/1985,,,39293.26199421451,,,41237.076489579886,,,9934.453565931248,,
01/1986,,,39219.80881425104,,,40978.07138919158,,,9925.10952362158,,
02/1986,,,42157.14610079316,,,42907.85004137818,,,9916.525239767929,,
03/1986,,,44354.18024686089,,,45797.31497619826,,,10739.89619923432,,
04/1986,,,48736.43148138192,,,47298.08927667742,,,10441.92287958322,,
05/1986,,,43659.96195004152,,,46334.346426348624,,,10638.789122626988,,
06/1986,,,45751.07265231215,,,48381.8912958277,,,10584.047045822315,,
07/1986,,,44035.35220257442,,,47335.68457116948,,,10486.146741918932,,
08/1986,,,47492.401909488784,,,49922.31551687075,,,10499.348778466274,,
09/1986,,,44140.88415290366,,,47558.040732892434,,,10306.054386865058,,
10/1986,,,43922.99342187089,,,46216.703726404754,,,10425.997552985751,,
11/1986,,,46755.88852309905,,,48660.15998817887,,,10193.402928523505,,
12/1986,,,47257.390185902936,,,48918.98842075373,,,10111.73382799858,,
01/1987,,,46389.80244001448,,,51380.59265631077,,,9993.70485850732,,
02/1987,,,47204.617573952586,,,52132.908088075965,,,10106.977937403795,,
03/1987,,,49462.36165581777,,,55265.51344098956,,,10180.674507637052,,
04/1987,,,50735.31690030454,,,57738.690406181646,,,10200.941311126022,,
05/1987,,,49848.98074714457,,,57113.9937546486,,,10304.159924221494,,
06/1987,,,52196.086070784106,,,58098.78560738437,,,10235.771796187391,,
07/1987,,,54738.32176030392,,,60110.697558145344,,,10204.532896554449,,
08/1987,,,55629.85632732613,,,64152.31021935193,,,10117.318545999922,,
09/1987,,,54540.5910637742,,,61386.36991470059,,,9982.121008801358,,
10/1987,,,43857.440146959256,,,50587.01719849433,,,10052.650274302405,,
11/1987,,,39397.992820401625,,,46366.267919942205,,,9854.55065714173,,
12/1987,,,40428.05684667624,,10000.0,46897.08825092531,,10000.0,9862.5231874334,,
01/1988,,,39180.82143012408,,10362.212139605464,48537.91486111503,,11100.47162367223,10484.893633816158,,
02/1988,,,42689.57391686133,,11282.110059171597,52830.337489364014,,11461.291863905324,10616.775861388483,,
03/1988,,,43274.38488595769,,11476.420852926867,53678.8922827356,,12521.24277606616,10553.932983383984,,
04/1988,,,43820.10731069918,,11556.986830015314,54021.87490901184,,13112.040735068917,10612.661325334491,,
05/1988,,,43428.8778412385,,11443.912967032968,53453.569837154544,,13639.024029304032,10830.248253542251,,
06/1988,,,44591.29439445851,,11860.614285714286,55352.12630107665,,14627.42142857143,11159.490073805107,,
07/1988,,,46946.56391953425,,12692.719556541022,59223.21124341946,,14975.041011086476,11411.453605399218,,
08/1988,,,45823.72259511506,,12268.07996735286,57212.20877076618,,14901.700172304343,11311.175356198444,,
09/1988,,,47966.87338126233,,12705.951237958045,59193.67146169965,,15753.07362924282,11570.055649840157,,
10/1988,,,51118.631903596775,,13206.140200210748,61559.61652450748,,15265.1375658588,11578.630066700873,,
11/1988,,,49702.09566678446,,13111.622940035424,61167.29304238174,,14598.68405161508,11377.64928760311,,
12/1988,,,50020.7233364705,,13247.062765957447,61772.09104022392,,15003.067021276594,11511.44571180487,,
01/1989,,,53891.89408235313,,14271.517099719102,66530.23651002873,,15401.735235252812,11972.569759640051,,
02/1989,,,53943.003841542406,,14363.729488091009,66917.44002020075,,16786.342961251332,11694.9421794214,,
